Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
SQIA3,18.51,-722.27,3.09,7.05,"0,00%",2.145,4.04,2336.07,6.74,1872.23,59.16,"0,30%","-0,97%",6.81,"0,21%","-0,43%",18096000,423255000,0.19,"24,46%"
PLDN4,486,-553.07,1.08,0.919,"0,00%",0.611,1.07,-75.56,3.1,-33.12,-33.12,"-1,22%","-0,17%",10.81,"-1,27%","-0,20%",0,289939000,0.01,"10,26%"
ARTR3,10.01,-412.07,0.89,1.196,"0,00%",0.368,-8.87,8.41,-0.72,18.75,6.91,"14,23%","-0,29%",0.64,"4,64%","-0,22%",0,6444080000,1.22,"0,98%"
LCSA4,35.09,-337.52,-228,79.738,"0,00%",125.308,-202.27,-505.8,-96.61,-506.56,-506.56,"-15,77%","-23,63%",0.29,"-28,74%","67,55%",0,-377568000,-0.35,"6.354,07%"
MAPT3,65,-324.65,-10.56,0,"0,00%",77.277,0,-368.74,0,-368.74,-368.74,"0,00%","0,00%",0,"0,00%","3,25%",0,-5657000,0,"0,00%"
MAPT4,60.99,-304.62,-9.91,0,"0,00%",72.51,0,-345.99,0,-345.99,-345.99,"0,00%","0,00%",0,"0,00%","3,25%",18054.8,-5657000,0,"0,00%"
COGN3,6.36,-283.38,0.65,1.751,"0,53%",0.329,3.77,15.9,-1.03,28.2,11.21,"11,01%","-0,67%",1.97,"2,30%","-0,23%",348313000,18294700000,0.66,"7,53%"
BHGR3,19.1,-272.16,1.1,3.613,"0,00%",0.855,-194.45,23.7,-8.56,25.95,14.2,"15,24%","-1,31%",0.96,"3,93%","-0,40%",0,1077600000,0.2,"20,67%"
KROT11,40,-254.61,0.59,1.573,"0,00%",0.296,3.38,14.29,-0.93,26.59,10.57,"11,01%","-0,67%",1.97,"2,30%","-0,23%",0,18294700000,0.66,"7,53%"
BKBR3,10.35,-232.6,1.36,0.828,"0,49%",0.688,29.72,48.42,-2.41,53,7.28,"1,71%","-0,36%",1.12,"1,72%","-0,58%",23637500,1735260000,0.4,"23,28%"
KROT4,5.12,-228.13,0.53,1.41,"0,00%",0.265,3.03,12.8,-0.83,25.1,9.98,"11,01%","-0,67%",1.97,"2,30%","-0,23%",0,18294700000,0.66,"7,53%"
RJCP3,0.01,-224.7,0.65,0,"0,00%",0.619,0,-522.94,0,-523.96,-917.32,"0,00%","0,00%",0,"0,00%","-0,29%",0,17287200,0,"0,00%"
ABYA3,4.91,-214.8,1.76,2.055,"0,00%",0.527,1.98,19.96,-2.75,33.67,33.67,"10,29%","-0,96%",2.09,"2,78%","-0,82%",0,292060000,1.31,"16,41%"
BBTG12,3.15,-209.6,0,0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","0,00%",0,0,0,"0,00%"
PITI4,1.28,-204.74,0,0,"0,00%",0,0,-2637.65,0,-2637.65,111.07,"0,00%","0,00%",0,"0,00%","0,00%",0,0,0,"-29,63%"
BTOW3,103.1,-187.99,9.58,7.511,"0,00%",3.345,10.84,302.18,-51.75,303.52,75.13,"2,49%","-4,00%",2.11,"2,59%","-5,10%",428133000,5631640000,1.21,"-6,38%"
LPSB3,5.4,-186.08,4.46,5.401,"0,00%",1.966,6.4,39.72,-22.7,32.44,15.86,"13,60%","-1,88%",2.83,"8,25%","-2,40%",5548640,178592000,0.05,"-9,14%"
ETER4,9.85,-154.56,-17.71,0.654,"0,00%",0.567,-40.73,-6.37,-0.96,-8.66,-13.97,"-10,27%","-0,42%",0.97,"-10,30%","11,46%",0,-17668000,-7,"-15,96%"
